experiment,scenario_count,mean_replacement_rate,median_replacement_rate,P25_replacement_rate,P75_replacement_rate,P90_replacement_rate,mean_unreplaced_supply,median_unreplaced_supply,mean_unreplaced_loss_share,median_unreplaced_loss_share,mean_tier1_replacement,mean_tier2_replacement,mean_tier3_replacement,mean_new_origin_share,type_A_count,type_B_count,type_C_count,type_D_count,type_A_share,type_B_share,type_C_share,type_D_share
A_W0_1.00,10953,0.998330127790767,1.0,1.0,1.0,1.0,6112.759539852096,0.0,0.001267875871552752,0.0,227093.98263580754,7535.713791655254,15395.89295078974,0.07313088180621462,9534,438,936,45,0.8704464530265681,0.03998904409750753,0.08545603944124898,0.004108463434675432
A_W0_0.75,10953,0.9974671989138801,1.0,1.0,1.0,1.0,8518.173397471011,0.0,0.0019106143328781382,0.0,220149.54796608235,8587.19262256916,18883.43493198211,0.07689616194601012,9434,454,998,67,0.8613165342828449,0.04144983109650324,0.09111658906235734,0.006117045558294531
A_W0_0.50,10953,0.9957335712512841,1.0,1.0,1.0,1.0,13751.54098100977,0.0,0.00321366778641174,0.0,207701.9100986031,9533.395171185977,25151.50266730576,0.0836350749287758,9251,469,1123,110,0.8446087829818315,0.04281931890806172,0.10252898749201132,0.010042910618095499
A_W0_0.25,10953,0.9890637895352221,1.0,1.0,1.0,1.0,31720.69417944855,0.0,0.008220580149160616,0.0,180847.14949694145,10956.126717794212,32614.378523920383,0.09904021493469262,8760,563,1357,273,0.7997808819501506,0.05140144252716151,0.12389299735232356,0.024924678170364284
B_W1_1.00,10953,0.9981036725360002,1.0,1.0,1.0,1.0,6767.412457774127,0.0,0.001431305143065744,0.0,225329.00749566327,7314.861334794119,16727.067629873098,0.07666967652274378,9436,476,987,54,0.8614991326577194,0.04345841322012234,0.09011229800054779,0.0049301561216105174
B_W2_1.00,10953,0.9976057381534448,1.0,1.0,1.0,1.0,8337.039233999816,0.0,0.0018224165838703022,0.0,219371.90982744456,7976.369887701999,20453.029968958275,0.08496830510018005,9252,535,1101,65,0.8447000821692687,0.04884506527891902,0.10052040536839223,0.005934447183420067
