experiment,comparable_scenarios,profile_agreement_count,profile_agreement_rate,A_to_A,A_to_B,A_to_C,A_to_D,B_to_A,B_to_B,B_to_C,B_to_D,C_to_A,C_to_B,C_to_C,C_to_D,D_to_A,D_to_B,D_to_C,D_to_D
A_W0_0.75,10953,10801,0.9861225235095408,9434,47,53,0,0,407,30,1,0,0,915,21,0,0,0,45
A_W0_0.50,10953,10554,0.9635716242125445,9251,94,181,8,0,375,59,4,0,0,883,53,0,0,0,45
A_W0_0.25,10953,9975,0.9107093946863873,8760,218,464,92,0,345,68,25,0,0,825,111,0,0,0,45
B_W1_1.00,10953,10816,0.9874920113210992,9436,70,28,0,0,406,30,2,0,0,929,7,0,0,0,45
B_W2_1.00,10953,10585,0.9664018990230987,9252,169,112,1,0,366,67,5,0,0,922,14,0,0,0,45
