scenario_key,importer,commodity,year,shock_rank,baseline_imports,supplier_count,largest_supplier_share,top3_supplier_share,top5_supplier_share,HHI,entropy,normalized_entropy,import_dependence,calorie_share,protein_share,lost_supply,shock_loss_share,remaining_import_share,replacement_rate,total_replacement,tier1_replacement,tier2_replacement,tier3_replacement,tier1_replacement_share,tier2_replacement_share,tier3_replacement_share,unreplaced_supply,unreplaced_loss_share,residual_import_share,new_origin_share,new_origin_required,historical_supplier_required,type,resilience_profile,capacity_status
1_Palm Oil_2011_R1,1,Palm Oil,2011,1,1064.0,4.0,0.4868421052631579,0.9530075187969924,0.9999999999999998,0.3741732149923681,1.1140989799355503,0.8036525367062356,-0.0240798291790871,0.0188234301800456,0.0,518.0,0.4868421052631579,0.513157894736842,1.0,518.0,518.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Palm Oil_2012_R1,1,Palm Oil,2012,1,1300.0,6.0,0.5284615384615384,0.9307692307692306,0.9976923076923074,0.3658650887573964,1.1913291081380015,0.6648934349716387,-0.0009497412439672,0.0196991969463613,0.0,687.0,0.5284615384615384,0.4715384615384616,1.0,687.0,687.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Palm Oil_2013_R1,1,Palm Oil,2013,1,1180.0,5.0,0.6050847457627119,0.9144067796610168,1.0,0.4270999712726227,1.1033378899870652,0.6855423756722534,0.0356507507293816,0.0204270993448902,0.0,714.0,0.6050847457627119,0.3949152542372881,1.0,714.0,714.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Palm Oil_2014_R1,1,Palm Oil,2014,1,633.24,5.0,0.6264133661802792,0.942359926726044,1.0,0.4516808723646581,1.055013711965415,0.6555168756835243,-0.0180569362855851,0.0201470848041236,0.0,396.67,0.6264133661802792,0.3735866338197208,1.0,396.67,396.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Palm Oil_2015_R1,1,Palm Oil,2015,1,934.0,6.0,0.5380085653104925,0.8789828693790149,0.9919379014989292,0.3712108962396084,1.2448726505370766,0.6947766549677598,-0.0161505583430473,0.0209239930068719,0.0,502.5,0.5380085653104925,0.4619914346895075,1.0,502.5,502.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Palm Oil_2016_R1,1,Palm Oil,2016,1,813.0699999999999,7.0,0.4509820802636919,0.8713271920006886,0.9732126385182084,0.3132103226722325,1.373953734433158,0.7060725466179286,-0.0158836804658294,0.0203698906905662,0.0,366.68,0.4509820802636919,0.5490179197363081,1.0,366.68,366.68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Palm Oil_2017_R1,1,Palm Oil,2017,1,941.96,6.0,0.5606076691154614,0.9133615015499597,0.9999681515138646,0.3829112474463124,1.2011389484533308,0.6703684110963948,-0.0158533223049352,0.0216284682402478,0.0,528.07,0.5606076691154614,0.4393923308845385,1.0,528.07,528.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Palm Oil_2018_R1,1,Palm Oil,2018,1,888.05,7.0,0.3191599572096166,0.8148077247902709,0.9988626766510894,0.250642430385084,1.4686386994087508,0.7547309931662236,-0.016216136457534,0.0216603783902012,0.0,283.43,0.3191599572096166,0.6808400427903833,1.0,283.43,283.43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Palm Oil_2019_R1,1,Palm Oil,2019,1,940.81,6.0,0.4141643902594573,0.9424644721038254,0.986043940859472,0.313702028780751,1.291933890436528,0.7210420330543211,0.0359254566571639,0.0233361320828475,0.0,389.65,0.4141643902594573,0.5858356097405427,1.0,389.65,389.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Palm Oil_2020_R1,1,Palm Oil,2020,1,1009.76,6.0,0.2363729995246395,0.6043614324195847,0.90334336872128,0.1778583357283804,1.757146144619553,0.9806819357157276,0.0025380710659898,0.0234876143899316,0.0,238.68,0.2363729995246395,0.7636270004753605,1.0,238.68,238.68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
